!Scene Name;!Dialog Audio File name;!Time Stamp (in seconds);!Command (Show, Mute, Unmute, Stop);(Show)Text to show;(Mute)Mute Flag;(Show)+( [ ] )Text Flag ;(Show)+( [ ] ) word index;Text flag;Word index;flag;Index;so on...
Scene 1 - Dreamscape;;0;Show;Here again, just like clockwork…Let's get this over with.;;;;;;;;
;;;;;;;;;;;;
Memory 1;;0;Show;???: Bags this one! Too slow, Miles. You can have the boring brown one.;;;;;;;;
;;6.1;Show;Because I said so, that's why. And 'cause ladies go first.;;;;;;;;
;;12.7;Show;I am so a lady! I can be your sister and a lady, you know. And my name is Alex, not Alexandra.;;;;;;;;
;;22.1;Show;;;;;;;;;
;;;;;;;;;;;;
Memory 2;;0;Show;???: Alright, Miles. I'm thinking of a number between one and ten. I want you to tell me what that number is.;;;;;;;;
;;7.7;Show;No, I'm afraid that's not the number, Miles.;;;;;;;;
;;10.5;Show;Alex: It's four.;;;;;;;;
;;12.6;Show;???: Your turn, Alexandra. What number am I thinking about now?;;;;;;;;
;;16.5;Show;Alex: Seven.;;;;;;;;
;;17.4;Show;???: And what about now?;;;;;;;;
;;18.9;Show;Alex: Two.;;;;;;;;
;;20.4;Show;???: Very impressive.;;;;;;;;
;;22.8;Show;Alex: Why is the baby blue?;;;;;;;;
;;25;Show;???: ...What?;;;;;;;;
;;27;Show;Alex: Did they ever wake up?;;;;;;;;
;;28.9;Show;???: How did...? I don't think...;;;;;;;;
;;32.6;Show;You need to get out of my head right now, Alexandra. The test is over, we're done here.;;;;;;;;
;;38.9;Show;Miles: Even they didn't realize how much power she had. I guess I should be thankful my powers hadn’t shown then. Maybe I would have shared her fate…;;;;;;;;
;;;;;;;;;;;;
Memory 3;;0;Show;???: Hello, Ms. Protas. We represent the Axiom Corporation. We understand your daughter has been showing some…unique skills.;;;;;;;;
;;9.5;Show;We have an offer that may be of interest to you. In fact, given your situation, it would be ill-advised to refuse.;;;;;;;;
;;17.2;Show;Alex: There's a strange woman at the door.;;;;;;;;
;;21;Show;I don't know, but they're asking about me.;;;;;;;;
;;25.2;Show;Miles...I'm scared.;;;;;;;;
;;28.5;Show;Miles: I'm sorry, Alex.;;;;;;;;
;;;;;;;;;;;;
Core Memory/Nightmare;;0;Show;???: This the one?;;;;;;;;
;;2;Show;???: Yes, that's her. Alexandra Protas.;;;;;;;;
;;3.7;Show;Alex: Let go of me!;;;;;;;;
;;4.8;Show;???: Wasn't there supposed to be another kid as well?;;;;;;;;
;;7.8;Show;???: The other one means nothing. Alex is the one we need.;;;;;;;;
;;11.1;Show;???: I thought we were supposed to get rid of everyone else?;;;;;;;;
;;14.1;Show;???: How about you think less, hmm? You might hurt yourself.;;;;;;;;
;;18.3;Show;Just grab the kid and let's get out of here.;;;;;;;;
;;20.1;Show;???: Do I…have to touch her?;;;;;;;;
;;22.5;Show;What if she gets into my head? Starts working her mind shit on me?;;;;;;;;
;;27.6;Show;???: I wouldn't be too concerned. I doubt she'll find much to work with in your head anyway.;;;;;;;;
;;32.6;Show;Now, stop being such a coward and let's move. Someone might have heard the gunshots.;;;;;;;;
;;37.3;Show;Alex: Let go of me!;;;;;;;;
;;39.5;Show;MILES!;;;;;;;;
;;40.5;Show;Miles: No, no!;;;;;;;;
;;42.1;Show;Alex: *Screams*;;;;;;;;
;;43.7;Show;Miles: Not this time!;;;;;;;;
;;44.6;Show;God dammit!;;;;;;;;
;;45.5;Show;Alex! I'm coming!;;;;;;;;
;;;;;;;;;;;;
Chase;;0;Show;Miles: I won't let them take you Alex! I won't!;;;;;;;;
;;;;;;;;;;;;
;;0;Show;Let her go, you bastards!;;;;;;;;
;;;;;;;;;;;;
;;0;Show;God dammit!;;;;;;;;
;;;;;;;;;;;;
Scene 2 - Apartment;;0;Show;Miles: God dammit. Why does this nightmare keep coming back?;;;;;;;;
;;;;;;;;;;;;
Scene 2 - Apartment (2);;0;Show;Miles: …Yeah?;;;;;;;;
;;1.3;Show;Saoirse: Christ, there you are, Miles. What took you so long?;;;;;;;;
;;4.3;Show;Miles: Sorry, I was...I was sleeping.;;;;;;;;
;;6.4;Show;Saoirse: …Are you alright?;;;;;;;;
;;7.7;Show;Miles: Yes, yeah, I'm fine. I just had a weird dream, that's all. Don't worry about it.;;;;;;;;
;;13.3;Show;What did you want, Saoirse?;;;;;;;;
;;15.2;Show;Saoirse: Please tell me you're joking. The mission? It's today.;;;;;;;;
;;19.1;Show;Miles: Oh, right. Yeah, yeah, of - of course.;;;;;;;;
;;22.1;Show;Saoirse: It was that damn nightmare, wasn't it? You got kicked out of the dream again.;;;;;;;;
;;25.7;Show;Miles: *Sigh*;;;;;;;;
;;26.5;Show;Saoirse: Dammit! I thought we'd worked through this.;;;;;;;;
;;28.9;Show;Miles: We had - we have! It's no big deal Saoirse, I've got this.;;;;;;;;
;;34.2;Show;Saoirse: You better. Because I need you on task today. No emotions, Miles, none. We can't afford for you to be distracted, and if you're getting too emotional to stay in your own dreams -;;;;;;;;
;;43.8;Show;Miles: I said I've got this.;;;;;;;;
;;46.3;Show;Saoirse: Fine.;;;;;;;;
;;48.3;Show;Miles: So what've you got for me?;;;;;;;;
;;50;Show;Saoirse: I've sent you a profile of the target. Familiarize yourself with it, because this is not your run of the mill goon. They're going to have one hell of a mind, probably the most complex you've been in.;;;;;;;;
;;59.7;Show;It's likely they're trained in mind shielding, so your best bet is to know everything you can about them before you mindjump. The more you know about how this asshole ticks, the quicker you can get to the core and -;;;;;;;;
;;69.4;Show;Miles: - End them. I know.;;;;;;;;
;;71.2;Show;Saoirse: - and get the code. Do what you want with them afterwards but we need that damn security code first.;;;;;;;;
;;78.5;Show;You need to remember that no amount of death will stop them. We need to show the world who Axiom really are. So get that code.;;;;;;;;
;;86;Show;And then…do what you have to.;;;;;;;;
;;88;Show;Miles: I intend to.;;;;;;;;
;;89.4;Show;Saoirse: Get yourself ready. I'll talk to you at the rendezvous point.;;;;;;;;
;;;;;;;;;;;;
Scene 3 - Axiom Base Hallway;;0;Show;Miles: Saoirse, I'm in position.;;;;;;;;
;;2.5;Show;Saoirse: Alright. If you're still on plan, you should be in a maintenance corridor. There will be an adjoining hallway ahead, then you'll reach the offices.;;;;;;;;
;;9.1;Show;The target should be somewhere around here so stay vigilant.;;;;;;;;
;;12.9;Show;Miles: Somewhere? Yeah…very helpful.;;;;;;;;
;;14.6;Show;Saoirse: Hey! You try get in Axiom's security.;;;;;;;;
;;17.7;Show;Miles: Need I remind you I'm literally in their building right now.;;;;;;;;
;;20.5;Show;Saoirse: You know what I mean, enough of the wise-guy shit. Listen, just...;;;;;;;;
